E	1	told	p0	audience=['p3'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	1	told	p3	audience=['p9'];from=p3;subject=cafe_7;relation=affords;obj=fun;conf=0.64;fact_id=cafe_7|affords|1
D	1	p0	idle		
D	1	p1	idle		
D	1	p2	idle		
D	1	p3	idle		
D	1	p4	idle		
D	1	p5	idle		
D	1	p6	idle		
D	1	p7	idle		
D	1	p8	idle		
D	1	p9	idle		
E	2	told	p0	audience=['p7'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	3	told	p0	audience=['p5'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	4	told	p0	audience=['p6'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	4	told	p0	audience=['p8'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	4	told	p3	audience=['p4'];from=p3;subject=cafe_7;relation=affords;obj=fun;conf=0.64;fact_id=cafe_7|affords|1
E	11	told	p0	audience=['p1'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	25	told	p1	audience=['p2'];from=p1;subject=cafe_7;relation=affords;obj=fun;conf=0.64;fact_id=cafe_7|affords|1
D	37	p0	idle		
D	37	p1	idle		
D	37	p2	idle		
D	37	p3	idle		
D	37	p4	idle		
D	37	p5	idle		
D	37	p6	idle		
D	37	p7	idle		
D	37	p8	idle		
D	37	p9	idle		
D	75	p0	idle		
D	75	p1	idle		
D	75	p2	idle		
D	75	p3	idle		
D	75	p4	idle		
D	75	p5	idle		
D	75	p6	idle		
D	75	p7	idle		
D	75	p8	idle		
D	75	p9	idle		
D	115	p0	idle		
D	115	p1	idle		
D	115	p2	idle		
D	115	p3	idle		
D	115	p4	idle		
D	115	p5	idle		
D	115	p6	idle		
D	115	p7	idle		
D	115	p8	idle		
D	115	p9	idle		
D	157	p0	idle		
D	157	p1	idle		
D	157	p2	idle		
D	157	p3	idle		
D	157	p4	idle		
